Runtime (minutes),readseq_kml,readseq_vanilla,readahead
2.95,,0.025,
2.966666666666667,,0.026,
2.9833333333333334,,0.027,
3.0,,0.028,
3.0166666666666666,,0.029,
3.033333333333333,,0.03,
3.05,,0.031,
3.066666666666667,,0.032,
3.0833333333333335,,0.033,
3.1,,0.034,
3.1166666666666667,,0.035,
3.1333333333333333,,0.036,
3.15,,0.037,
3.1666666666666665,,0.038,
3.183333333333333,,0.039,
3.2,,0.04,
3.216666666666667,,0.041,
3.2333333333333334,,0.042,
3.25,,0.043,
3.2666666666666666,,0.044,
3.283333333333333,,0.045,
3.3,,0.046,
3.316666666666667,,0.047,
3.3333333333333335,,0.048,
3.35,,0.049,
3.3666666666666667,,0.05,
3.3833333333333333,,0.001,
3.4,,0.002,
3.4166666666666665,,0.003,
3.433333333333333,,0.004,
3.45,,0.005,
3.466666666666667,,0.006,
3.4833333333333334,,0.007,
3.5,,0.008,
3.5166666666666666,,0.009,
3.533333333333333,,0.01,
3.55,,0.011,
3.566666666666667,,0.012,
3.5833333333333335,,0.013,
3.6,,0.014,
3.6166666666666667,,0.015,
3.6333333333333333,,0.016,
3.65,,0.017,
3.6666666666666665,,0.018,
3.683333333333333,,0.019,
3.7,,0.02,
3.716666666666667,,0.021,
3.7333333333333334,,0.022,
3.75,,0.023,
3.7666666666666666,,0.024,
3.783333333333333,,0.025,
3.8,,0.026,
3.816666666666667,,0.027,
3.8333333333333335,,0.028,
3.85,,0.029,
3.8666666666666667,,0.03,
3.8833333333333333,,0.031,
3.9,,0.032,
3.9166666666666665,,0.033,
3.933333333333333,,0.034,
3.95,,0.035,
3.966666666666667,,0.036,
3.9833333333333334,,0.037,
4.0,,0.038,
4.016666666666667,,0.039,
4.033333333333333,,0.04,
4.05,,0.041,
4.066666666666666,,0.042,
4.083333333333333,,0.043,
4.1,,0.044,
4.116666666666666,,0.045,
4.133333333333334,,0.046,
4.15,,0.047,
4.166666666666667,,0.048,
4.183333333333334,,0.049,
4.2,,0.05,
4.216666666666667,,0.001,
4.233333333333333,,0.002,
4.25,,0.003,
4.266666666666667,,0.004,
4.283333333333333,,0.005,
4.3,,0.006,
4.316666666666666,,0.007,
4.333333333333333,,0.008,
4.35,,0.009,
4.366666666666666,,0.01,
4.383333333333334,,0.011,
4.4,,0.012,
4.416666666666667,,0.013,
4.433333333333334,,0.014,
4.45,,0.015,
4.466666666666667,,0.016,
4.483333333333333,,0.017,
4.5,,0.018,
4.516666666666667,,0.019,
4.533333333333333,,0.02,
4.55,,0.021,
4.566666666666666,,0.022,
4.583333333333333,,0.023,
4.6,,0.024,
4.616666666666666,,0.025,
4.633333333333334,,0.026,
4.65,,0.027,
4.666666666666667,,0.028,
4.683333333333334,,0.029,
4.7,,0.03,
4.716666666666667,,0.031,
4.733333333333333,,0.032,
4.75,,0.033,
4.766666666666667,,0.034,
4.783333333333333,,0.035,
4.8,,0.036,
4.816666666666666,,0.037,
4.833333333333333,,0.038,
4.85,,0.039,
4.866666666666666,,0.04,
4.883333333333334,,0.041,
4.9,,0.042,
4.916666666666667,,0.043,
4.933333333333334,,0.044,
4.95,,0.045,
4.966666666666667,,0.046,
4.983333333333333,,0.047,
5.0,,0.048,
5.016666666666667,,0.049,
5.033333333333333,,0.05,
5.05,,0.001,
5.066666666666666,,0.002,
5.083333333333333,,0.003,
5.1,,0.004,
5.116666666666666,,0.005,
5.133333333333334,,0.006,
5.15,,0.007,
5.166666666666667,,0.008,
5.183333333333334,,0.009,
5.2,,0.01,
5.216666666666667,,0.011,
5.233333333333333,,0.012,
5.25,,0.013,
5.266666666666667,,0.014,
5.283333333333333,,0.015,
5.3,,0.016,
5.316666666666666,,0.017,
5.333333333333333,,0.018,
5.35,,0.019,
5.366666666666666,,0.02,
5.383333333333334,,0.021,
5.4,,0.022,
5.416666666666667,,0.023,
5.433333333333334,,0.024,
5.45,,0.025,
