Runtime (minutes),readreverse_kml,readreverse_vanilla,readahead
0.9833333333333333,,0.01,
1.0,,0.011,
1.0166666666666666,,0.012,
1.0333333333333334,,0.013,
1.05,,0.014,
1.0666666666666667,,0.015,
1.0833333333333333,,0.016,
1.1,,0.017,
1.1166666666666667,,0.018,
1.1333333333333333,,0.019,
1.15,,0.02,
1.1666666666666667,,0.021,
1.1833333333333333,,0.022,
1.2,,0.023,
1.2166666666666666,,0.024,
1.2333333333333334,,0.025,
1.25,,0.001,
1.2666666666666666,,0.001,
1.2833333333333334,,0.002,
1.3,,0.003,
1.3166666666666667,,0.004,
1.3333333333333333,,0.005,
1.35,,0.006,
1.3666666666666667,,0.007,
1.3833333333333333,,0.008,
1.4,,0.009,
1.4166666666666667,,0.01,
1.4333333333333333,,0.011,
1.45,,0.012,
1.4666666666666666,,0.013,
1.4833333333333334,,0.014,
1.5,,0.015,
1.5166666666666666,,0.016,
1.5333333333333334,,0.017,
1.55,,0.018,
1.5666666666666667,,0.019,
1.5833333333333333,,0.02,
1.6,,0.021,
1.6166666666666667,,0.022,
1.6333333333333333,,0.023,
1.65,,0.024,
1.6666666666666667,,0.025,
1.6833333333333333,,0.001,
1.7,,0.002,
1.7166666666666666,,0.003,
1.7333333333333334,,0.004,
1.75,,0.005,
1.7666666666666666,,0.006,
1.7833333333333334,,0.007,
1.8,,0.008,
1.8166666666666667,,0.009,
1.8333333333333333,,0.01,
1.85,,0.011,
1.8666666666666667,,0.012,
1.8833333333333333,,0.013,
1.9,,0.014,
1.9166666666666667,,0.015,
1.9333333333333333,,0.016,
1.95,,0.017,
1.9666666666666666,,0.018,
1.9833333333333334,,0.019,
2.0,,0.02,
2.0166666666666666,,0.021,
2.033333333333333,,0.022,
2.05,,0.023,
2.066666666666667,,0.024,
2.0833333333333335,,0.025,
2.1,,0.001,
2.1166666666666667,,0.002,
2.1333333333333333,,0.003,
2.15,,0.004,
2.1666666666666665,,0.005,
2.183333333333333,,0.006,
2.2,,0.007,
2.216666666666667,,0.008,
2.2333333333333334,,0.009,
2.25,,0.01,
2.2666666666666666,,0.011,
2.283333333333333,,0.012,
2.3,,0.013,
2.316666666666667,,0.014,
2.3333333333333335,,0.015,
2.35,,0.016,
2.3666666666666667,,0.017,
2.3833333333333333,,0.018,
2.4,,0.019,
2.4166666666666665,,0.02,
2.433333333333333,,0.021,
2.45,,0.022,
2.466666666666667,,0.023,
2.4833333333333334,,0.024,
2.5,,0.025,
2.5166666666666666,,0.001,
2.533333333333333,,0.002,
2.55,,0.003,
2.566666666666667,,0.004,
2.5833333333333335,,0.005,
2.6,,0.006,
2.6166666666666667,,0.007,
2.6333333333333333,,0.008,
2.65,,0.009,
2.6666666666666665,,0.01,
2.683333333333333,,0.011,
2.7,,0.001,
2.716666666666667,,0.002,
2.7333333333333334,,0.003,
2.75,,0.004,
2.7666666666666666,,0.005,
2.783333333333333,,0.006,
2.8,,0.007,
2.816666666666667,,0.008,
2.8333333333333335,,0.009,
2.85,,0.01,
2.8666666666666667,,0.011,
2.8833333333333333,,0.012,
2.9,,0.013,
2.9166666666666665,,0.014,
2.933333333333333,,0.015,
2.95,,0.016,
2.966666666666667,,0.017,
2.9833333333333334,,0.018,
3.0,,0.019,
3.0166666666666666,,0.02,
3.033333333333333,,0.021,
3.05,,0.022,
3.066666666666667,,0.023,
3.0833333333333335,,0.024,
3.1,,0.025,
3.1166666666666667,,0.001,
3.1333333333333333,,0.002,
3.15,,0.003,
3.1666666666666665,,0.004,
3.183333333333333,,0.005,
3.2,,0.006,
3.216666666666667,,0.007,
3.2333333333333334,,0.008,
3.25,,0.009,
3.2666666666666666,,0.01,
3.283333333333333,,0.011,
3.3,,0.012,
3.316666666666667,,0.013,
3.3333333333333335,,0.014,
3.35,,0.015,
3.3666666666666667,,0.016,
3.3833333333333333,,0.017,
3.4,,0.018,
3.4166666666666665,,0.019,
3.433333333333333,,0.02,
3.45,,0.021,
3.466666666666667,,0.022,
3.4833333333333334,,0.023,
3.5,,0.024,
3.5166666666666666,,0.025,
